,title,artist,top genre,year,bpm,nrgy,dnce
416,Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119,72,56
417,Cruel (feat. ZAYN),Snakehips,dance pop,2016,110,88,60
418,Send My Love (To Your New Lover),Adele,british soul,2016,164,52,69
419,WTF (Where They From),Missy Elliott,dance pop,2016,120,82,93
420,Desire,Years & Years,dance pop,2016,126,78,71
421,When We Were Young,Adele,british soul,2016,144,59,38
422,I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,114,77,68
423,Wish That You Were Here ,Florence + The Machine,art pop,2016,94,57,37
424,Hurts,Emeli Sand�,dance pop,2016,106,64,58
425,Change,Christina Aguilera,dance pop,2016,82,54,62
426,Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016,123,70,70
427,Keeping Your Head Up,Birdy,neo mellow,2016,122,78,60
428,True Colors,Zedd,complextro,2016,126,79,57
429,Make Me Like You,Gwen Stefani,dance pop,2016,118,71,74
430,Champagne Problems,Nick Jonas,dance pop,2016,108,78,73
431,Blown,DNCE,dance pop,2016,130,95,63
432,Start,John Legend,neo mellow,2016,110,4,52
433,Pep Rally,Missy Elliott,dance pop,2016,90,75,83
434,Higher,Carly Rae Jepsen,canadian pop,2016,114,87,65
435,Invitation,Britney Spears,dance pop,2016,112,65,37
436,One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016,91,69,75
437,Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016,86,17,39
438,Little Lies,Hilary Duff,dance pop,2016,124,76,57
439,Do You Wanna Come Over?,Britney Spears,dance pop,2016,121,70,75
440,BURNITUP!,Janet Jackson,dance pop,2016,123,71,83
441,Picky - Remix,Joey Montana,latin,2016,186,81,70
442,Behind Your Back,Nelly Furtado,canadian latin,2016,98,47,80
443,Million Years Ago,Adele,british soul,2016,0,0,0
444,Shape of You,Ed Sheeran,pop,2017,96,65,83
445,Closer,The Chainsmokers,electropop,2017,95,52,75
446,Starboy,The Weeknd,canadian contemporary r&b,2017,186,59,68
447,Treat You Better,Shawn Mendes,canadian pop,2017,83,82,44
448,That's What I Like,Bruno Mars,pop,2017,134,56,85
449,Let Me Love You,DJ Snake,electronic trap,2017,100,72,65
450,I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93,82,77
451,Mercy,Shawn Mendes,canadian pop,2017,148,66,56
452,Side To Side,Ariana Grande,dance pop,2017,159,74,65
453,Stay,Zedd,complextro,2017,102,62,69
454,It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,64
455,Malibu,Miley Cyrus,dance pop,2017,140,78,57
456,Something Just Like This,The Chainsmokers,electropop,2017,103,65,61
457,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,102,76,72
458,I Don't Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,118,45,74
459,My Way,Calvin Harris,dance pop,2017,120,91,82
460,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,67,61
461,Praying,Kesha,dance pop,2017,73,39,58
462,Despacito - Remix,Luis Fonsi,latin,2017,178,82,65
463,The Greatest,Sia,australian dance,2017,192,73,67
464,There for You,Martin Garrix,big room,2017,106,64,61
465,Paris,The Chainsmokers,electropop,2017,100,64,65
466,Crying in the Club,Camila Cabello,dance pop,2017,85,62,33
467,Mama,Jonas Blue,dance pop,2017,104,79,74
468,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,74
469,Swish Swish,Katy Perry,dance pop,2017,120,71,84
470,Chained To The Rhythm,Katy Perry,dance pop,2017,190,80,45
471,Cold (feat. Future),Maroon 5,pop,2017,100,72,69
472,Love,Lana Del Rey,art pop,2017,99,37,53
473,Reggaeton Lento (Remix),CNCO,boy band,2017,94,91,53
474,All I Ask,Adele,british soul,2017,142,28,59
475,First Time,Kygo,edm,2017,90,59,63
476,The Cure,Lady Gaga,dance pop,2017,100,51,70
477,"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,181,54,31
478,Bodak Yellow,Cardi B,pop,2017,125,72,93
479,Rich Love (with Seeb),OneRepublic,dance pop,2017,105,87,40
480,Tired,Alan Walker,electro house,2017,124,88,69
481,Came Here for Love,Sigala,dance pop,2017,125,87,71
482,24K Magic,Bruno Mars,pop,2017,107,80,82
483,Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,106,50,87
484,Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,115,91,71
485,OK - Spotify Version,Robin Schulz,dance pop,2017,122,81,65
486,Bon app�tit,Katy Perry,dance pop,2017,106,79,80
487,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,135,57,76
488,Get Low (with Liam Payne),Zedd,complextro,2017,108,93,72
489,Kissing Strangers,DNCE,dance pop,2017,120,74,77
490,Slow Hands,Niall Horan,dance pop,2017,86,42,74
491,Younger Now,Miley Cyrus,dance pop,2017,122,87,55
492,Body Moves,DNCE,dance pop,2017,102,69,65
493,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,122,64,73
494,Angel,Fifth Harmony,dance pop,2017,124,53,74
495,Touch (feat. Kid Ink),Little Mix,dance pop,2017,102,75,64
496,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,82,70
497,Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,167,50,37
498,No Vacancy (with Sebastion Yatra),OneRepublic,dance pop,2017,100,76,69
499,Rich Boy,Galantis,big room,2017,110,90,74
500,Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,67,51
501,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,115,83,70
502,Influence,Tove Lo,dance pop,2017,105,59,77
503,Remember I Told You,Nick Jonas,dance pop,2017,113,53,68
504,Messin' Around,Pitbull,dance pop,2017,158,81,57
505,Water Under the Bridge,Adele,british soul,2017,95,84,60
506,Free Me,Sia,australian dance,2017,87,46,27
507,Kissing Strangers - Remix,DNCE,dance pop,2017,120,77,76
508,A L I E N S,Coldplay,permanent wave,2017,148,88,43
509,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79
510,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77
511,I Like It,Cardi B,pop,2018,136,73,82
512,New Rules,Dua Lipa,dance pop,2018,116,70,76
513,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,81,87
514,no tears left to cry,Ariana Grande,dance pop,2018,122,71,70
515,IDGAF,Dua Lipa,dance pop,2018,97,54,84
516,In My Blood,Shawn Mendes,canadian pop,2018,140,71,62
517,Wolves,Selena Gomez,dance pop,2018,125,80,72
518,Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,44,26
519,Attention,Charlie Puth,dance pop,2018,100,61,78
520,Electricity (with Dua Lipa),Silk City,edm,2018,118,67,59
521,Love On The Brain,Rihanna,barbadian pop,2018,172,64,51
522,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,71,66
523,Silence,Marshmello,brostep,2018,142,76,52
524,Sorry Not Sorry,Demi Lovato,dance pop,2018,144,64,71
525,Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,57
526,These Days,Rudimental,dance pop,2018,92,81,65
527,What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,60,80
528,Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,105,86,70
529,Perfect Duet (Ed Sheeran & Beyonce),Ed Sheeran,pop,2018,95,30,59
530,Bad At Love,Halsey,dance pop,2018,118,75,68
531,Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,59
532,Friends (with BloodPop�),Justin Bieber,canadian pop,2018,105,73,74
533,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,98,67,67
534,My My My!,Troye Sivan,dance pop,2018,103,46,70
535,Capital Letters,Hailee Steinfeld,dance pop,2018,100,81,66
536,Sick Boy,The Chainsmokers,electropop,2018,90,58,66
537,Tequila,Dan + Shay,contemporary country,2018,86,59,47
538,Look What You Made Me Do,Taylor Swift,pop,2018,128,71,77
539,Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,100,60,53
540,Bad Liar,Selena Gomez,dance pop,2018,121,41,97
541,Anywhere,Rita Ora,dance pop,2018,107,80,63
542,Say Something,Justin Timberlake,dance pop,2018,97,63,71
543,Chun-Li,Nicki Minaj,dance pop,2018,129,73,69
544,Sign of the Times,Harry Styles,dance pop,2018,120,57,52
545,Familiar,Liam Payne,dance pop,2018,93,81,64
546,Let Me,ZAYN,dance pop,2018,168,57,46
547,Supernova,Ansel Elgort,dance pop,2018,140,62,77
548,Nervous,Shawn Mendes,canadian pop,2018,122,62,84
549,First Time,Kygo,edm,2018,90,59,63
550,End Game,Taylor Swift,pop,2018,159,59,65
551,Mi Gente (feat. Beyonce),J Balvin,latin,2018,105,72,76
552,Lemon,N.E.R.D,hip hop,2018,95,73,92
553,For You (With Rita Ora),Liam Payne,dance pop,2018,113,80,54
554,Want To,Dua Lipa,dance pop,2018,92,69,57
555,What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104,79,63
556,Wait,Maroon 5,pop,2018,126,60,66
557,What About Us,P!nk,dance pop,2018,114,59,39
558,Kissing Strangers,DNCE,dance pop,2018,120,74,77
559,2U (feat. Justin Bieber),David Guetta,dance pop,2018,145,61,53
560,Walk On Water (feat. Beyonce),Eminem,detroit hip hop,2018,82,44,48
561,This Town,Niall Horan,dance pop,2018,112,41,68
562,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,94,69,73
563,MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,100,87,76
564,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,100,64,75
565,Filthy,Justin Timberlake,dance pop,2018,97,58,75
566,Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,69,63
567,Ferrari,Bebe Rexha,dance pop,2018,77,48,58
568,Supplies,Justin Timberlake,dance pop,2018,120,55,79
569,Boom Boom,RedOne,moroccan pop,2018,110,76,75
570,...Ready For It? - BloodPop Remix,Taylor Swift,pop,2018,160,84,58
571,Drip (feat. Migos),Cardi B,pop,2018,130,59,97
572,Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,77,58
573,Memories,Maroon 5,pop,2019,91,32,76
574,Lose You To Love Me,Selena Gomez,dance pop,2019,102,34,51
575,Someone You Loved,Lewis Capaldi,pop,2019,110,41,50
576,Se�orita,Shawn Mendes,canadian pop,2019,117,54,76
577,How Do You Sleep?,Sam Smith,pop,2019,111,68,48
578,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98,62,86
579,Trampoline (with ZAYN),SHAED,electropop,2019,127,46,62
580,Happier,Marshmello,brostep,2019,100,79,69
581,Truth Hurts,Lizzo,escape room,2019,158,62,72
582,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,89,67
583,Higher Love,Kygo,edm,2019,104,68,69
584,Only Human,Jonas Brothers,boy band,2019,94,50,80
585,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,65,64
586,Sucker,Jonas Brothers,boy band,2019,138,73,84
587,Don't Call Me Up,Mabel,dance pop,2019,99,88,67
588,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,68,80
589,Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,40,90
590,Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,122,89,81
591,Takeaway,The Chainsmokers,electropop,2019,100,51,53
592,All Around The World (La La La),R3HAB,big room,2019,125,86,73
593,Girls Like You (feat. Cardi B),Maroon 5,pop,2019,125,54,85
594,Call You Mine,The Chainsmokers,electropop,2019,104,70,59
595,No Guidance (feat. Drake),Chris Brown,dance pop,2019,93,45,70
596,Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152,82,72
597,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,80,84
598,Con Calma - Remix,Daddy Yankee,latin,2019,94,87,74
599,Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104,66,61
600,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95,79,75
601,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136,76,53
602,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,114,79,60
603,Kills You Slowly,The Chainsmokers,electropop,2019,150,44,70
